list-id-none,4,1,4,12,172707,14392,292
list-id-none,8,1,4,24,294101,12254,174
list-id-none,8,2,4,48,223176,4649,44
list-id-none,8,4,4,96,232274,2419,31
list-id-none,12,1,4,36,387808,10772,130
list-id-none,12,2,4,72,361732,5024,44
list-id-none,16,1,4,48,640528,13344,235
list-id-none,16,4,4,192,776112,4042,36
list-id-m,1,10,4,30,124985,4166,129
list-id-m,1,20,4,60,126978,2116,106
list-id-m,1,40,4,120,174747,1456,49
list-id-m,1,80,4,240,231973,966,38
list-id-m,4,10,4,120,207502,1729,856
list-id-m,4,20,4,240,310892,1295,1323
list-id-m,4,40,4,480,529879,1103,1513
list-id-m,4,80,4,960,1002239,1043,1652
list-id-m,8,10,4,240,357557,1489,1495
list-id-m,8,20,4,480,614937,1281,4040
list-id-m,8,40,4,960,1091793,1137,4389
list-id-m,8,80,4,1920,2119815,1104,4691
list-id-m,12,10,4,360,681451,1892,7486
list-id-m,12,20,4,720,911576,1266,7047
list-id-m,12,40,4,1440,1683983,1169,7265
list-id-m,12,80,4,2880,3295859,1144,8740
list-id-m,16,10,4,480,784850,1635,7382
list-id-m,16,20,4,960,1245710,1297,10149
list-id-m,16,40,4,1920,2360911,1229,11828
list-id-m,16,80,4,3840,4746196,1235,14151
list-id-s,1,10,4,30,114529,3817,45
list-id-s,1,20,4,60,150904,2515,33
list-id-s,1,40,4,120,172567,1438,29
list-id-s,1,80,4,240,279345,1163,26
list-id-s,4,10,4,120,181637,1513,718
list-id-s,4,20,4,240,264472,1101,908
list-id-s,4,40,4,480,383082,798,843
list-id-s,4,80,4,960,794868,827,1105
list-id-s,8,10,4,240,292783,1219,591
list-id-s,8,20,4,480,417663,870,1154
list-id-s,8,40,4,960,760425,792,2441
list-id-s,8,80,4,1920,1781639,927,3782
list-id-s,12,10,4,360,412117,1144,370
list-id-s,12,20,4,720,650504,903,2869
list-id-s,12,40,4,1440,1252853,870,4568
list-id-s,12,80,4,2880,3146278,1092,8257
list-id-s,16,10,4,480,513904,1070,408
list-id-s,16,20,4,960,872698,909,4174
list-id-s,16,40,4,1920,1936844,1008,8312
list-id-s,16,80,4,3840,5152728,1341,14732
list-none-m,1,1000,4,3000,1316101,438,26
list-none-m,2,1000,4,6000,5951658,991,528
list-none-m,4,1000,4,12000,20825148,1735,3205
list-none-m,8,1000,4,24000,55007768,2291,11827
list-none-m,12,1000,4,36000,124746428,3465,30753
list-none-m,1,1000,8,3000,822010,274,26
list-none-m,2,1000,8,6000,6383939,1063,479
list-none-m,4,1000,8,12000,11427507,952,1290
list-none-m,8,1000,8,24000,26038072,1084,4253
list-none-m,12,1000,8,36000,52084227,1446,10306
list-none-m,1,1000,16,3000,655039,218,26
list-none-m,2,1000,16,6000,2042413,340,124
list-none-m,4,1000,16,12000,4241637,353,378
list-none-m,8,1000,16,24000,13833751,576,1622
list-none-m,12,1000,16,36000,24572256,682,3667
list-none-s,1,1000,4,3000,1280260,426,23
list-none-s,2,1000,4,6000,5300122,883,269
list-none-s,4,1000,4,12000,18770759,1564,2419
list-none-s,8,1000,4,24000,47499389,1979,9727
list-none-s,12,1000,4,36000,109831533,3050,26260
list-none-s,1,1000,8,3000,841832,280,23
list-none-s,2,1000,8,6000,5831587,971,252
list-none-s,4,1000,8,12000,10645797,887,874
list-none-s,8,1000,8,24000,20289030,845,2758
list-none-s,12,1000,8,36000,40785581,1132,7259
list-none-s,1,1000,16,3000,667249,222,27
list-none-s,2,1000,16,6000,1712856,285,65
list-none-s,4,1000,16,12000,6571165,547,377
list-none-s,8,1000,16,24000,10944573,456,1009
list-none-s,12,1000,16,36000,19429718,539,2342
